str,en_US,en,fr,it,de,nl,es,cy,ca,zh,
event_management,Event Management,Event Management,Gestion d'événements,Gestione eventi,Veranstaltungsmanagement,Evenementenbeheer,Gestión de eventos,Rheoli Digwyddiadau,,活动管理,
configure_bookable_events_and_see_their_schedules,Configure bookable events and see their schedules,Configure bookable events and see their schedules,Configurez des événements réservables et consultez leurs horaires,Configura gli eventi prenotabili e visualizza i loro programmi,Buchbare Events konfigurieren und deren Termine einsehen,Configureer boekbare evenementen en bekijk hun schema's,Configurar eventos reservables y ver sus horarios,Ffurfweddu digwyddiadau y gellir eu harchebu a gweld eu hamserlenni,,配置可预订的活动并查看其日程安排,
create_event,Create event,Create event,Créer un événement,Crea evento,Ereignis erstellen,Evenement maken,Crear evento,Creu digwyddiad,,创建活动,
edit_event,Edit event,Edit event,Modifier l'événement,Modifica evento,Ereignis bearbeiten,Gebeurtenis bewerken,Editar evento,Golygu digwyddiad,,编辑活动,
are_you_sure_you_want_to_close,"Are you sure, you want to close","Are you sure, you want to close",Etes-vous sûr de vouloir fermer,Sei sicuro di voler chiudere?,"Sind Sie sicher, dass Sie schließen möchten",Weet u zeker dat u wilt sluiten?,¿Estás seguro que deseas cerrar?,"Ydych chi'n si≈µr, rydych chi am gau",,您确定要关闭吗,
are_you_sure_you_want_to_reset_fields,"Are you sure, you want to reset fields","Are you sure, you want to reset fields",Etes-vous sûr de vouloir réinitialiser les champs,Sei sicuro di voler reimpostare i campi?,"Sind Sie sicher, dass Sie die Felder zurücksetzen möchten?",Weet u zeker dat u de velden wilt resetten?,¿Estás seguro de que deseas restablecer los campos?,"Ydych chi'n si≈µr, rydych chi am ailosod meysydd",,您确定要重置字段吗,
are_you_sure_you_want_to_delete_,"Are you sure, you want to delete","Are you sure, you want to delete",Etes-vous sûr de vouloir supprimer,Sei sicuro di voler eliminare,"Sind Sie sicher, dass Sie löschen möchten",Weet u zeker dat u wilt verwijderen?,¿Estás seguro que deseas eliminar?,"Ydych chi'n si≈µr, rydych chi am ddileu",,您确定要删除吗,
are_you_sure_you_want_to_?,"Are you sure, you want to ?","Are you sure, you want to ?",Etes-vous sûr de vouloir ?,Sei sicuro di volerlo fare?,"Sind Sie sicher, dass Sie das möchten?",Weet je het zeker?,¿Estás seguro que quieres?,"Ydych chi'n si≈µr, rydych chi eisiau?",,您确定要这么做吗？,
search_location,Search Location,Search Location,Emplacement de la recherche,Cerca posizione,Ort suchen,Zoeklocatie,Buscar ubicación,Lleoliad Chwilio,,搜索地点,
no_place_found,No place found,No Place found,Aucun lieu trouvé,Nessun posto trovato,Kein Ort gefunden,Geen plaats gevonden,No se encontró ningún lugar,Heb ganfod Lle,,未找到地点,
event_gallery_images,Event gallery images,Event gallery images,Images de la galerie d'événements,Immagini della galleria degli eventi,Bilder der Eventgalerie,Afbeeldingen van evenementengalerijen,Imágenes de la galería de eventos,Delweddau oriel digwyddiadau,,活动图库图片,
png_jpeg_and_images_should_be_less_than_15_mb,"PNG, JPEG and Images should be up to 300 KB","PNG, JPEG and Images should be upto 300 KB","Les fichiers PNG, JPEG et les images doivent peser jusqu'à 300 Ko","PNG, JPEG e le immagini devono essere fino a 300 KB","PNG, JPEG und Bilder sollten bis zu 300 KB groß sein","PNG, JPEG en afbeeldingen moeten maximaal 300 KB groot zijn","PNG, JPEG y las imágenes deben tener hasta 300 KB","Dylai PNG, JPEG a Delweddau fod yn llai na 15 MB",,PNG、JPEG 和图像最大尺寸应为 300 KB,
add_more_images,Add more Images,Add more Images,Ajouter plus d'images,Aggiungi altre immagini,Weitere Bilder hinzufügen,Voeg meer afbeeldingen toe,Añadir más imágenes,Ychwanegu mwy o luniau,,添加更多图片,
add_event_gallery_images_drop_file_here,Add Event gallery images Drop file here,Add Event gallery images Drop file here,Ajouter des images de la galerie d'événements Déposez le fichier ici,Aggiungi immagini alla galleria eventi Trascina il file qui,Bilder aus der Eventgalerie hinzufügen Datei hier ablegen,Voeg afbeeldingen van evenementengalerijen toe. Sleep het bestand hierheen.,Agregar imágenes de la galería de eventos Soltar archivo aquí,Ychwanegu lluniau oriel Digwyddiad Gollyngwch ffeil yma,,添加活动图库图像将文件拖放到此处,
select_event_admin,Select Event Admin,Select Event Admin,Sélectionnez l'administrateur de l'événement,Seleziona Amministratore evento,Wählen Sie „Event Admin“,Selecteer Gebeurtenisbeheerder,Seleccionar administrador de eventos,Dewiswch Gweinyddwr Digwyddiad,,选择活动管理员,
done,Done,Done,Fait,Fatto,Erledigt,Klaar,Hecho,Wedi'i wneud,,完毕,
search_interest,Search Interest,Search Interest,Intérêt de recherche,Interesse di ricerca,Suchinteresse,Zoekinteresse,Interés de búsqueda,Chwilio Diddordeb,,搜索兴趣,
search_record_not_found,Search record not found,Search record not found.,Enregistrement de recherche non trouvé.,Record di ricerca non trovato.,Suchdatensatz nicht gefunden.,Zoekresultaat niet gevonden.,No se encontró el registro de búsqueda.,Ni chanfuwyd y cofnod chwilio.,,未找到搜索记录。,
search_tag,Search Tag,Search Tag,Rechercher une balise,Cerca tag,Such-Tag,Zoektag,Etiqueta de búsqueda,Tag Chwilio,,搜索标签,
tag_name,Tag name,Tag name,Nom de la balise,Nome del tag,Tag-Name,Tagnaam,Nombre de la etiqueta,Enw tag,,标签名称,
search_record_not_found_,Search record not found,Search record not found.,Enregistrement de recherche non trouvé.,Record di ricerca non trovato.,Suchdatensatz nicht gefunden.,Zoekresultaat niet gevonden.,No se encontró el registro de búsqueda.,Ni chanfuwyd y cofnod chwilio.,,未找到搜索记录。,
search_event_admin,Search Event Admin,Search Event Admin,Rechercher l'administrateur de l'événement,Cerca Amministratore Eventi,Suche Event Admin,Zoek Evenementbeheerder,Buscar administrador de eventos,Chwilio Gweinyddwr Digwyddiad,,搜索活动管理员,
slots,Slots,Slots,Machines à sous,Slot,Spielautomaten,Slots,Tragamonedas,Slotiau,,插槽,
for,for,for,pour,per,für,voor,para,canys,,为了,
slot_are_present_please_select_other_slot_times,"slot are present, please select other slot times","slot are present, please select other slot times","des créneaux horaires sont présents, veuillez sélectionner d'autres créneaux horaires","sono presenti slot, seleziona altri orari di slot","Slot vorhanden sind, wählen Sie bitte andere Slot-Zeiten","slots zijn aanwezig, selecteer dan andere slottijden","Hay espacios disponibles, seleccione otros horarios","slot yn bresennol, dewiswch amseroedd slot eraill",,有空位，请选择其他空位时间,
cancel,Cancel,Cancel,Annuler,Cancellare,Stornieren,Annuleren,Cancelar,Canslo,,取消,
archive,Archive,Archive,Archive,Archivio,Archiv,Archief,Archivo,Archif,,档案,
please_try_again,Please try again,Please try again,Veuillez réessayer,Per favore riprova,Bitte versuchen Sie es erneut,Probeer het opnieuw,"Por favor, inténtalo de nuevo",Ceisiwch eto,,请重试,
select_event_date,Select Event Date,Select Event Date,Sélectionnez la date de l'événement,Seleziona la data dell'evento,Wählen Sie das Veranstaltungsdatum,Selecteer evenementdatum,Seleccionar fecha del evento,Dewiswch Dyddiad Digwyddiad,,选择活动日期,
memberships,Memberships,Memberships,Adhésions,Associazioni,Mitgliedschaften,Lidmaatschappen,Membresías,Aelodaeth,,会员资格,
full,full,full,complet,pieno,voll,vol,lleno,llawn,,满的,
enable_benefits_of_this_membership,Enable benefits of this membership,Enable benefits of this membership,Activer les avantages de cette adhésion,Abilita i vantaggi di questa iscrizione,Aktivieren Sie die Vorteile dieser Mitgliedschaft,Profiteer van de voordelen van dit lidmaatschap,Habilitar los beneficios de esta membresía,Galluogi buddion yr aelodaeth hon,,启用此会员资格的福利,
update,Update,Update,Mise à jour,Aggiornamento,Aktualisieren,Update,Actualizar,Diweddariad,,更新,
